<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^BDS,20150609,408.1700,411.3100,405.9600,407.8000,320257
^BDS,20150610,407.8000,409.7700,403.5600,405.9600,262636
^BDS,20150611,405.9600,412.6800,405.5700,411.6300,328286
^BDS,20150612,411.6300,432.7800,411.1400,431.7100,1002135
^BDS,20150615,431.7100,432.6100,416.1200,420.0800,349439
^BDS,20150616,420.0800,424.2000,414.2900,418.8100,363951
^BDS,20150617,418.8100,426.1300,412.4100,418.4300,276108
^BDS,20150618,418.4300,422.8500,417.7300,418.5500,244946
^BDS,20150619,418.5500,426.8000,417.8100,422.0600,425624
^BDS,20150622,422.0600,429.5600,421.0400,425.3800,221644
^BDS,20150623,425.3800,432.9300,421.5000,428.9900,448624
^BDS,20150624,428.9900,432.8300,424.6900,431.3900,284916
^BDS,20150625,431.3900,436.4500,424.2400,432.0200,443023
^BDS,20150626,432.0200,432.9100,427.3200,427.4600,380125
^BDS,20150629,427.4600,444.9700,427.0200,439.6000,569136
^BDS,20150630,439.6000,453.1000,437.0000,445.8600,1060882
^BDS,20150701,445.8600,451.3300,440.7800,445.1800,339419
^BDS,20150702,445.1800,451.8100,445.0900,451.4900,416788
^BDS,20150703,451.4900,461.5600,450.8500,457.9400,660376
^BDS,20150706,457.9400,464.7100,452.4500,459.9600,710380
^BDS,20150707,459.9600,462.0500,453.7900,456.0700,763672
^BDS,20150708,456.0700,457.4100,446.1100,450.0700,623923
^BDS,20150709,450.0700,460.8900,442.5900,454.5300,637705
^BDS,20150710,454.5300,461.9800,453.5400,458.1800,529130
^BDS,20150713,458.1800,459.6600,454.1500,456.0600,504010
^BDS,20150714,456.0600,457.4000,451.2900,454.5500,351484
^BDS,20150715,454.5500,457.1800,447.2900,449.0500,501882
^BDS,20150716,449.0500,450.3100,441.4400,443.5900,352594
^BDS,20150717,443.5900,446.8400,440.2000,442.6300,300336
^BDS,20150720,442.6300,447.7700,438.2200,441.4600,298758
^BDS,20150721,441.4600,448.0600,439.3500,444.6900,238101
^BDS,20150722,444.6900,460.5900,443.9100,459.2600,696521
^BDS,20150723,459.2600,463.9700,454.6700,455.4100,402520
^BDS,20150724,455.4100,459.2000,450.6100,453.5300,310095
^BDS,20150727,453.5300,459.4300,451.8900,456.3000,606493
^BDS,20150728,456.3000,466.2300,453.3700,454.8500,968104
^BDS,20150729,454.8500,458.0300,447.5500,448.6600,438639
^BDS,20150730,448.6600,451.1700,444.9700,448.3300,266525
^BDS,20150731,448.3300,451.4800,443.2300,447.2300,510369
^BDS,20150803,447.2300,450.1000,440.6000,445.5400,621477
^BDS,20150804,445.5400,446.7000,441.6200,445.1200,266931
^BDS,20150805,445.1200,448.8200,443.2900,448.2300,207254
^BDS,20150806,448.2300,449.1100,443.3000,446.5600,220125
^BDS,20150807,446.5600,448.2200,445.0900,446.9700,146990
^BDS,20150810,446.9700,451.9800,446.3500,451.4000,271864
^BDS,20150811,451.4000,453.7800,449.2200,452.2900,376673
^BDS,20150812,452.2900,452.4400,445.3900,445.6500,328021
^BDS,20150813,445.6500,446.3400,438.1800,439.8800,359112
^BDS,20150814,439.8800,444.2000,431.0800,434.4000,317637
^BDS,20150817,434.4000,439.3900,425.8600,426.5800,280881
^BDS,20150818,426.5800,433.0700,425.1100,432.0200,258740
^BDS,20150819,432.0200,432.3000,420.3500,423.0900,299828
^BDS,20150820,423.0900,426.6100,414.5000,419.0600,393887
^BDS,20150821,419.0600,419.1900,399.8400,412.2200,1316067
^BDS,20150824,412.2200,412.2800,389.5500,408.6100,985590
^BDS,20150825,408.6100,409.2500,393.3800,407.4700,794583
^BDS,20150826,407.4700,412.1600,401.8000,409.9800,603366
^BDS,20150827,409.9800,421.1900,408.6300,417.9900,528003
^BDS,20150828,417.9900,424.4800,415.1200,423.9700,363806
^BDS,20150831,423.9700,424.2300,414.8200,421.5500,341747
